이름,자치구,위도,경도
영락고교.영락의료과학고,관악구,37.4793964639,126.9456413962
e편한세상서울대입구아파트,관악구,37.4797304539,126.9429334382
쑥고개,관악구,37.4786269166,126.94012124
은천교,관악구,37.4862741791,126.9358192432
봉일시장,관악구,37.4861847891,126.9387053001
은천초등학교,관악구,37.486084336,126.9424344854
두산.벽산아파트.서울관광고등학교,관악구,37.4867862492,126.945256088
현대시장앞,관악구,37.486735,126.947932
관악동부센트레빌아파트앞,관악구,37.4862395065,126.951997229
중앙동성당앞,관악구,37.4858038301,126.9546624721
중앙동성당앞,관악구,37.4859234164,126.9551938213
관악동부센트레빌아파트앞,관악구,37.4864744102,126.95130163
벽산.두산아파트.서울관광고등학교,관악구,37.4869646301,126.9451745389
은천초등학교,관악구,37.4863200172,126.942448318
봉일시장,관악구,37.4862623399,126.9389872733
은천교,관악구,37.4864887267,126.9355505303
신림청소년독서실.신림체육센터,관악구,37.480922,126.914797
난곡우체국사거리,관악구,37.4771890136,126.915601446
신일교회앞.도깨비시장,관악구,37.4754531432,126.9167650134
세이브마트앞,관악구,37.47385703,126.918037
남강중고등학교입구,관악구,37.4722574159,126.9195218742
우림시장.난곡보건분소,관악구,37.4705471261,126.9200007204
난우중학교입구,관악구,37.4666919669,126.92054078
신림복지관앞,관악구,37.4652824875,126.9196773902
신림복지관앞,관악구,37.465357,126.919495
난우중학교입구,관악구,37.467392,126.920348
우림시장.난곡보건분소,관악구,37.470667112,126.9197417798
남강중고등학교입구,관악구,37.4725557947,126.9191422392
세이브마트앞,관악구,37.4739579362,126.9174336686
신일교회앞.도깨비시장,관악구,37.475399,126.916574
난곡우체국사거리,관악구,37.4769808612,126.9154305767
신림청소년독서실.신림체육센터,관악구,37.480315301,126.9146624536
KT구로지사,관악구,37.4812745555,126.90539986
골목시장앞,관악구,37.4815094057,126.9053800168
조원동주민센터,관악구,37.4834358832,126.9074141948
조원동주민센터,관악구,37.483184422,126.9070563124
신대방역,관악구,37.4865794735,126.9130032118
신대방역,관악구,37.4866700184,126.9126962022
보라매공원입구,관악구,37.4891229048,126.9174897386
보라매공원입구,관악구,37.489435269,126.9178010867
보라매파크뷰아파트,관악구,37.4896486343,126.9220386039
롯데관악점,관악구,37.4897262326,126.9251647188
롯데관악점,관악구,37.4901297758,126.9257070748
당곡역,관악구,37.4892995107,126.9270622168
당곡중학교,관악구,37.488084986,126.9305421031
당곡중학교,관악구,37.487948574,126.9319168564
봉현초등학교,관악구,37.4907157496,126.9554672808
동아아파트105동앞,관악구,37.49052765,126.955414395
관악드림타운115동,관악구,37.490522127,126.9527938777
관악드림타운115동,관악구,37.490144527,126.9530108571
관악드림타운북문,관악구,37.491600782,126.951276815
관악드림타운북문,관악구,37.4915440732,126.9510801201
구암중학교,관악구,37.4924641868,126.9483401995
구암중학교,관악구,37.4922862923,126.9484647078
벽산아파트.적십자남부봉사관,관악구,37.492953,126.946532
벽산아파트.적십자남부봉사관,관악구,37.4930533731,126.9461601934
벽산블루밍벽산아파트303동앞,관악구,37.4919397992,126.944368715
구로디지털단지역,관악구,37.4838240234,126.9026875907
현대시장,관악구,37.4868811315,126.947836543
서울대입구역2번출구,관악구,37.4801109505,126.9527297656
신봉초등학교입구,관악구,37.4841900104,126.9468251624
구암초등학교,관악구,37.4891880904,126.9461216984
은천동벽산블루밍아파트105동,관악구,37.4893681933,126.9458637343
은천동두산아파트3단지,관악구,37.484358827,126.9465536842
봉일시장,관악구,37.4850728694,126.9372434322
봉천역,관악구,37.4832362109,126.942119674
현대시장,관악구,37.4876789537,126.9465909455
현대시장,관악구,37.4874402599,126.9465203946
관악우체국.에이치플러스양지병원,관악구,37.4848480554,126.933156959
관악우체국.에이치플러스양지병원,관악구,37.4844524654,126.9331482652
보라매삼성아파트.모자원고개,관악구,37.4945144044,126.9273975559
조원힐스테이트뉴포레아파트,관악구,37.4835747238,126.9061605387
관악산휴먼시아.신림푸르지오2차,관악구,37.460381143,126.919522697
관악산휴먼시아아파트1단지입구,관악구,37.4609276261,126.9219633037
관악산휴먼시아아파트1단지입구,관악구,37.4609929949,126.9216300665
난향동주민센터,관악구,37.461001,126.919167
서울대정문,관악구,37.4657347092,126.9483888926
법대.사회대입구,관악구,37.462798,126.948992
자연대.행정관입구,관악구,37.4602745925,126.9488328413
농생대,관악구,37.4571629782,126.9491669695
공대입구,관악구,37.4549310083,126.9498437849
신소재,관악구,37.4534963067,126.9502261839
제2공학관,관악구,37.4487952024,126.9520772668
유회진학술정보관.제1공학관,관악구,37.451283,126.952595
유전공학연구소.반도체공동연구소,관악구,37.4540103657,126.9539020813
교수회관입구,관악구,37.4560708573,126.9553487986
관악사삼거리,관악구,37.4607880575,126.9567262582
국제대학원,관악구,37.46418,126.955263
수의대입구.보건대학원앞,관악구,37.466119,126.954632
경영대.행정대학원,관악구,37.466135,126.952053
경영대.행정대학원,관악구,37.465863,126.951012
수의대입구.보건대학원앞,관악구,37.465773,126.954672
국제대학원,관악구,37.46371,126.954927
관악사삼거리,관악구,37.460528,126.95666
공동기기원,관악구,37.4551189492,126.9544665701
유전공학연구소.반도체공동연구소,관악구,37.4537476916,126.9535516289
에너지자원신기술연구소,관악구,37.4535952522,126.9522141729
공대입구,관악구,37.4553640041,126.949896448
농생대,관악구,37.4571128404,126.9493877458
자연대.행정관입구,관악구,37.4599898135,126.9489559518
문화관입구,관악구,37.4614868493,126.9494503629
법대.사회대입구,관악구,37.46326,126.949075
서울대정문,관악구,37.4653754725,126.9486357857
우방아파트,관악구,37.489233,126.919247
은천성결교회,관악구,37.4883272437,126.9214262581
남부초교후문,관악구,37.4867197461,126.9226406129
봉림교,관악구,37.4849717829,126.9246318378
남부초교후문,관악구,37.4864491785,126.9222366697
청담고시원,관악구,37.4716612193,126.9399508583
우리슈퍼,관악구,37.4722845735,126.9393706575
명호고시원,관악구,37.4733194431,126.938860909
동작마트,관악구,37.4742815521,126.938356196
제일성도교회,관악구,37.4748334585,126.9404392562
삼양슈퍼,관악구,37.4751039806,126.9420665874
금성마트용천사,관악구,37.4750292676,126.942807788
삼양슈퍼,관악구,37.4749343135,126.9421136493
제일성도교회,관악구,37.4746577628,126.9404789678
동작마트,관악구,37.4749391205,126.9380334582
고시촌입구,관악구,37.4705489387,126.9376643153
대학동치안센터,관악구,37.4690418042,126.9376455022
대학동노인정,관악구,37.46735,126.93757
금호타운아파트,관악구,37.4657396064,126.9376595486
금호타운아파트,관악구,37.4657104128,126.9378291297
대학동노인정,관악구,37.4671591135,126.9376868773
대학동치안센터,관악구,37.4689379452,126.9377735833
서울대입구역3번출구,관악구,37.4807005941,126.9524440164
청림동현대아파트,관악구,37.491334,126.957561
청림동현대아파트,관악구,37.491948,126.959384
보성운수기종점,관악구,37.4641267565,126.9190213265
난곡공영차고지,관악구,37.463938,126.918963
제2공학관,관악구,37.4480848677,126.9521425546
건설환경종합연구소앞,관악구,37.4472002497,126.9496963827
봉일시장,관악구,37.4855325313,126.9372877479
보라매공영주차장,관악구,37.4887044852,126.9342323482
당곡중고교,관악구,37.4911229426,126.9340425015
연희빌라,관악구,37.4925826472,126.9338080186
연희빌라,관악구,37.4925289803,126.9337389141
당곡중고교,관악구,37.4911375856,126.9339322377
보라매공영주차장,관악구,37.4887260569,126.9341339458
신림사거리.신림역,관악구,37.4841991011,126.9282759755
신사동주민센터.신사시장,관악구,37.485534,126.917282
건영유치원,관악구,37.4850495896,126.9145919609
신대방역,관악구,37.4864484117,126.9136841115
난곡사거리,관악구,37.483037,126.914462
난곡사거리,관악구,37.4827675299,126.9142384082
신대방역,관악구,37.4863653637,126.9134840538
신사시장.평화교회,관악구,37.4844679227,126.9138803062
신사시장.선한이웃교회,관악구,37.4845275146,126.9140379945
신림청소년독서실.신림체육센터,관악구,37.4804433853,126.9148713746
신사동진양빌딩앞,관악구,37.4876940621,126.9146115645
호림박물관,관악구,37.4823672056,126.918618871
보성운수차고지맞은편,관악구,37.4646708176,126.9192632133
조원아파트,관악구,37.484088,126.90782
성원홈아파트,관악구,37.4902310566,126.9344142103
성원홈아파트,관악구,37.4902039601,126.9343000164
신림빗물펌프장,관악구,37.484979,126.9084
봉천사거리.위버폴리스,관악구,37.4827934095,126.9535723145
서원동승리교앞,관악구,37.4815862804,126.9299073023
서울난향초등학교.난향동주민센터,관악구,37.4627367836,126.9188888522
은천길입구,관악구,37.4866475818,126.9336112524
대학동샘말공원,관악구,37.4651382749,126.9383464994
서울대학교.치과병원.동물병원,관악구,37.4692744185,126.9520815656
서울대학교.치과병원.동물병원,관악구,37.470034,126.951937
신림2교,관악구,37.477526,126.93678
서울대학교,관악구,37.4676609636,126.9496319032
신림역2번출구,관악구,37.4833220413,126.929897162
벽산블루밍아파트종점,관악구,37.492105,126.944636
청림동현대아파트입구,관악구,37.4910748741,126.957413445
아카시아마을.민방위교육장,관악구,37.4720765376,126.9110629666
난향동공영차고지,관악구,37.4634784081,126.9189072689
청림동푸르지오아파트121동앞,관악구,37.4855867055,126.9606640782
보명사.법화사,관악구,37.4760734942,126.9248318555
현대아파트후문,관악구,37.4752551368,126.9304689235
GS편의점.소망유통,관악구,37.4693187251,126.9686576958
국사봉,관악구,37.491065,126.941744
봉천역,관악구,37.4835902775,126.9409009883
뉴서울아파트,관악구,37.4714170168,126.9111256421
푸르지오122동,관악구,37.4860981959,126.9596641783
승산밝은빛교회.구무림비디오,관악구,37.4757279844,126.9242273045
코사마트,관악구,37.4762191632,126.9302023262
인수당약국,관악구,37.4701674287,126.9681361509
벽산아파트후문.만물슈퍼,관악구,37.4907882284,126.9418503621
신협,관악구,37.4831950485,126.9465737839
쌍용아파트후문,관악구,37.4726771928,126.9117541837
관악로입구,관악구,37.4864265271,126.9580220655
한마음슈퍼,관악구,37.4753175115,126.9234984545
미성빌라,관악구,37.4770770731,126.9302987658
우리현대마트,관악구,37.4710782857,126.9675399492
우리슈퍼,관악구,37.4903837611,126.9421119066
두산아파트입구,관악구,37.4847729966,126.9468248253
벽산아파트501동.적십자센터,관악구,37.4929053524,126.9465804386
신라놀이터,관악구,37.4732481844,126.9125494627
충남슈퍼.생각대로통신,관악구,37.4749187609,126.9227888212
혜성세탁소,관악구,37.4776960894,126.9303876606
동인약국.인헌중고입구,관악구,37.4719720293,126.9669821806
